Frequency (Hz)	Level (dB)
11800.195313	-73.107323
11843.261719	-70.542458
11886.328125	-72.381577
11929.394531	-75.703735
11972.460938	-80.814034
12015.527344	-76.537895
12058.593750	-69.394958
12101.660156	-68.399422
12144.726563	-72.489449
12187.792969	-76.330482
12230.859375	-77.966476
12273.925781	-72.641960
12316.992188	-68.276367
12360.058594	-69.737228
12403.125000	-72.306740
12446.191406	-76.316399
12489.257813	-82.092842
12532.324219	-80.829926
12575.390625	-80.727478
12618.457031	-78.353096
12661.523438	-76.714661
12704.589844	-76.741409
12747.656250	-73.896629
12790.722656	-74.305779
12833.789063	-80.546913
12876.855469	-86.146393
12919.921875	-75.047218
12962.988281	-69.230659
13006.054688	-65.420471
13049.121094	-66.980743
13092.187500	-72.667770
13135.253906	-80.016945
13178.320313	-77.241592
13221.386719	-69.693306
13264.453125	-67.909615
13307.519531	-68.496910
13350.585938	-71.979393
13393.652344	-78.925713
13436.718750	-79.426125
13479.785156	-77.931496
13522.851563	-75.442276
13565.917969	-74.139832
13608.984375	-73.099258
13652.050781	-72.183395
13695.117188	-72.192451
13738.183594	-73.212692
13781.250000	-79.209618
13824.316406	-85.363350
13867.382813	-75.963730
13910.449219	-69.589470
13953.515625	-66.174103
13996.582031	-68.338745
14039.648438	-76.511002
14082.714844	-86.952988
14125.781250	-78.474213
14168.847656	-73.979591
14211.914063	-76.127731
14254.980469	-79.473389
14298.046875	-88.075592
14341.113281	-90.308861
14384.179688	-80.228951
14427.246094	-74.078087
14470.312500	-73.700172
14513.378906	-74.388046
14556.445313	-74.640312
14599.511719	-72.851288
14642.578125	-70.603615
14685.644531	-70.633232
14728.710938	-75.261284
14771.777344	-82.403770
14814.843750	-82.639061
14857.910156	-77.872284
14900.976563	-74.846725
14944.042969	-76.195808
14987.109375	-81.214127
15030.175781	-88.164825
15073.242188	-85.067810
15116.308594	-79.000443
15159.375000	-72.658478
15202.441406	-72.811035
15245.507813	-78.665657
15288.574219	-86.447357
15331.640625	-92.894165
15374.707031	-100.825775
15417.773438	-108.605705
15460.839844	-108.769379
15503.906250	-111.297112
15546.972656	-104.458717
15590.039063	-97.971481
15633.105469	-100.792160
15676.171875	-103.106651
15719.238281	-97.283897
15762.304688	-96.181007
15805.371094	-95.845337
15848.437500	-82.926888
15891.503906	-77.378845
15934.570313	-78.595337
15977.636719	-86.985970
16020.703125	-86.280022
16063.769531	-81.911835
16106.835938	-77.890152
16149.902344	-77.542992
16192.968750	-83.218712
16236.035156	-96.239418
16279.101563	-98.974953
16322.167969	-97.870613
16365.234375	-98.669991
16408.300781	-99.007462
16451.367188	-95.858017
16494.433594	-96.966957
16537.500000	-96.951370
16580.566406	-94.521370
16623.632813	-97.979721
16666.699219	-103.433548
16709.765625	-88.927200
16752.832031	-79.127235
16795.898438	-77.235222
16838.964844	-82.335480
16882.031250	-96.123695
16925.097656	-106.226959
16968.164063	-98.349190
17011.230469	-101.516121
17054.296875	-101.767731
17097.363281	-97.712082
17140.429688	-103.325836
17183.496094	-107.795158
17226.562500	-98.688217
17269.628906	-98.986794
17312.695313	-106.155647
17355.761719	-111.310661
17398.828125	-112.468086
17441.894531	-112.248573
17484.960938	-111.269051
17528.027344	-112.618568
17571.093750	-112.819244
17614.160156	-111.746643
17657.226563	-113.210091
17700.292969	-112.173050
